                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.82916,                0.79498,                 1.1918,                0.40163,                  0.375,                0.25424,                0.14404,                 1.9419,                 2.7269,                  2.494,              0.0003566,              0.0003566,              0.0003566
                     86,                0.91227,                 0.8554,                 1.1739,                 0.4128,                  0.375,                0.26169,                 0.1398,                 1.9734,                 2.7202,                 2.5374,              0.0003368,              0.0003368,              0.0003368
                     87,                0.95501,                0.87111,                 1.1809,                 0.3226,                  0.375,                0.25904,                 0.1382,                 1.9495,                 2.6297,                 2.5084,               0.000317,               0.000317,               0.000317
                     88,                0.96346,                0.88475,                 1.1673,                0.72373,                  0.375,                0.43283,                0.15944,                 1.9566,                 2.5047,                 2.5694,              0.0002972,              0.0002972,              0.0002972
                     89,                0.84305,                0.90584,                 1.1911,                0.72161,                  0.375,                0.43578,                0.17251,                 1.8561,                 2.2815,                 2.4197,              0.0002774,              0.0002774,              0.0002774
                     90,                0.87028,                0.79105,                 1.1014,                0.73854,                  0.375,                 0.4436,                0.15868,                 1.7892,                 2.2268,                 2.3951,              0.0002576,              0.0002576,              0.0002576
                     91,                0.92486,                0.95476,                 1.3221,                0.45998,                    0.5,                0.45409,                0.15199,                 1.6921,                 2.3534,                 2.3679,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74371,                0.80086,                 1.1247,                0.37641,                    0.5,                0.42799,                0.13587,                 1.6548,                 2.5154,                 2.3527,               0.000218,               0.000218,               0.000218
                     93,                0.71053,                0.86925,                  1.127,                0.48676,                0.35845,                0.36154,                 0.1055,                 1.7188,                  2.679,                 2.4784,              0.0001982,              0.0001982,              0.0001982
                     94,                0.71783,                0.82848,                 1.0289,                0.25282,                   0.25,                0.19287,                0.10214,                 1.8516,                 2.8543,                 2.5812,              0.0001784,              0.0001784,              0.0001784
                     95,                0.78014,                0.77342,                  1.066,                 0.2383,                   0.25,                0.12182,                0.05922,                 1.9185,                 2.9226,                  2.603,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83935,                0.89204,                 1.1196,                0.22446,                   0.25,                0.12245,                0.05686,                 1.9421,                 2.9856,                 2.6157,              0.0001388,              0.0001388,              0.0001388
