                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                  1.169,                 1.9079,                 1.0385,                 1.1893,                0.53653,                0.66667,                0.57315,                0.37874,                0.53653,                0.66667,                0.55259,                0.35036,                 1.5708,                 2.9789,                  2.562,                 1.9548,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0661,                 1.8818,                0.94968,                   1.15,                0.37928,                0.66667,                0.45653,                0.33183,                0.37928,                0.66667,                0.43434,                0.28857,                 1.6412,                 3.0088,                 2.6338,                 2.0035,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0507,                 1.9984,                0.92974,                 1.1258,                0.44322,                0.83333,                0.48482,                0.35578,                0.42108,                0.66667,                  0.406,                 0.2904,                 1.6437,                 2.9629,                  2.275,                 1.9915,               0.000812,               0.000812,               0.000812
                     63,                0.96624,                 1.7259,                0.84804,                  1.052,                0.48377,                0.66667,                0.46095,                0.37587,                0.48377,                0.66667,                0.44441,                0.32964,                 1.6966,                 3.0699,                 2.4024,                 2.0233,              0.0007922,              0.0007922,              0.0007922
                     64,                0.97006,                 1.8296,                0.84861,                 1.0582,                0.45759,                    0.5,                0.51268,                0.39136,                0.45759,                    0.5,                0.49851,                 0.3513,                 1.6549,                 3.0819,                 2.6438,                 1.9802,              0.0007724,              0.0007724,              0.0007724
                     65,                0.98739,                 1.8681,                0.86345,                 1.0952,                  0.534,                0.57932,                0.62325,                 0.4327,                  0.534,                0.57932,                0.55315,                0.43112,                 1.5594,                 2.7828,                 2.7135,                 1.8596,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.9118,                 1.7113,                0.77944,                 1.0552,                0.40736,                 0.8041,                0.58711,                0.41544,                0.47174,                0.60072,                0.51728,                 0.4105,                  1.496,                 2.3801,                 2.7915,                 1.8537,              0.0007328,              0.0007328,              0.0007328
                     67,                0.91233,                 1.6543,                0.83574,                 1.0631,                0.53152,                0.66667,                0.52537,                0.38762,                0.53152,                0.66667,                0.51009,                0.40342,                 1.3588,                 2.2526,                 2.6537,                 1.7476,               0.000713,               0.000713,               0.000713
                     68,                 1.0647,                 1.8752,                0.95467,                 1.0991,                0.56803,                0.66667,                0.62194,                0.44436,                0.56803,                0.66667,                 0.5661,                0.43715,                 1.1933,                 2.3794,                 2.4541,                 1.5823,              0.0006932,              0.0006932,              0.0006932
                     69,                0.97717,                 1.8065,                0.87821,                 1.0611,                0.79408,                0.64695,                 0.6125,                 0.4525,                0.79408,                0.64695,                0.57191,                 0.4295,                 1.1968,                 2.5424,                 2.2525,                   1.53,              0.0006734,              0.0006734,              0.0006734
                     70,                0.88518,                 1.6285,                0.83534,                  1.071,                0.78826,                0.62755,                0.58417,                0.43468,                0.78826,                0.62755,                0.57442,                0.39534,                 1.2351,                 2.8699,                 1.9207,                 1.5233,              0.0006536,              0.0006536,              0.0006536
                     71,                0.90395,                 1.7148,                0.84471,                 1.0563,                0.59464,                0.66667,                0.58854,                0.41708,                0.59464,                0.66667,                0.57167,                0.37815,                 1.1825,                 3.0349,                 1.6829,                 1.4481,              0.0006338,              0.0006338,              0.0006338
